episode,steps,reward_0,reward_1,reward_2,collisions_0,collisions_1,collisions_2
282,15,-7.0164456487575411,-0.34977898209087466,5.6931518098767979,0.0,0.0,0.0
283,2,-0.20994237679292202,-50.209942376792924,0.22536520129292115,0.0,0.0,0.0
284,64,2.9545692548223745,2.9545692548223745,-4.5373202999901112,0.0,2.0,2.0
285,18,-0.11249468549777679,-0.11249468549777679,-5.5952133661265329,0.0,0.0,0.0
286,5,-20.144509577348419,-0.14450957734841757,0.15626223275698459,0.0,0.0,0.0
287,7,-0.17935615743457969,-0.17935615743457969,-8.8612790354658166,0.0,0.0,0.0
288,29,-0.25439297550311263,-0.25439297550311263,-3.5500133397752403,0.0,0.0,0.0
289,11,-0.30878497359896095,-0.30878497359896095,-9.1397839011779851,0.0,0.0,0.0
290,3,-33.574920828315193,-0.24158749498185428,0.30357655276218387,0.0,0.0,0.0
291,26,3.743133438811761,-0.10302040734208508,-3.7345481447508506,1.0,0.0,1.0
292,23,-4.6015527809743535,-0.25372669401783149,0.23851678175389868,0.0,0.0,0.0
293,3,-0.36422485581301167,-0.36422485581301167,-34.610775478657253,0.0,0.0,0.0
294,6,-0.13352062914048221,16.533146037526183,-16.511801517382526,0.0,1.0,1.0
295,15,-0.16320686238960405,6.5034598042770622,-6.5415589516899875,1.0,0.0,1.0
296,73,-1.6109687474634526,-0.24110573376482269,0.27635275796598391,0.0,0.0,0.0
297,20,-5.2137916580066115,-0.21379165800661096,0.25279583682807993,0.0,0.0,0.0
298,94,-0.15963807310171063,0.9041917141323319,0.38986860810914542,1.0,0.0,1.0
299,9,-0.12071108232297993,-0.12071108232297993,-11.456741639864276,0.0,0.0,0.0
300,8,-0.28087995577873542,-0.28087995577873542,-12.664541589555652,0.0,0.0,0.0
301,11,-0.32595200851537764,-9.4168610994244677,0.36831935478952232,0.0,0.0,0.0
302,13,-0.10731813975630834,-0.10731813975630834,-7.920852878586901,0.0,0.0,0.0
303,6,-16.923681758224152,-0.25701509155748387,0.27404590488722452,0.0,0.0,0.0
304,16,-0.16225906382049413,-0.16225906382049413,-6.4709298058992477,0.0,0.0,0.0
305,7,-14.535276353288612,-0.24956206757432667,0.2659036667417175,0.0,0.0,0.0
